iter	Passed	Remaining
0	110	110407
1	111	55517
2	112	37221
3	112	28090
4	113	22571
5	114	18922
6	114	16300
7	115	14325
8	116	12779
9	116	11561
10	123	11112
11	130	10707
12	133	10121
13	133	9426
14	140	9235
15	148	9153
16	153	8900
17	154	8446
18	160	8309
19	167	8219
20	174	8138
21	175	7801
22	176	7494
23	177	7210
24	178	6948
25	178	6702
26	179	6471
27	180	6256
28	180	6049
29	181	5864
30	182	5695
31	182	5535
32	183	5380
33	184	5236
34	185	5105
35	185	4973
36	186	4849
37	186	4733
38	187	4627
39	188	4531
40	189	4434
41	190	4344
42	191	4254
43	191	4168
44	192	4086
45	193	4007
46	193	3931
47	194	3860
48	195	3791
49	195	3723
50	196	3660
51	197	3598
52	198	3538
53	198	3479
54	199	3423
55	199	3368
56	200	3317
57	201	3268
58	201	3219
59	203	3184
60	204	3140
61	204	3097
62	205	3055
63	206	3014
64	206	2975
65	207	2936
66	208	2899
67	208	2861
68	209	2826
69	210	2792
70	211	2761
71	211	2728
72	212	2696
73	213	2666
74	213	2636
75	214	2606
76	215	2577
77	215	2548
78	216	2522
79	216	2495
80	217	2470
81	218	2448
82	219	2423
83	219	2397
84	220	2372
85	221	2349
86	224	2357
87	231	2398
88	238	2442
89	239	2425
90	240	2406
91	241	2385
92	242	2365
93	243	2346
94	244	2328
95	245	2308
96	245	2289
97	246	2271
98	247	2252
99	248	2236
100	249	2222
101	250	2207
102	251	2190
103	252	2173
104	253	2157
105	253	2140
106	254	2125
107	255	2110
108	256	2095
109	257	2079
110	257	2064
111	258	2050
112	259	2034
113	259	2019
114	260	2005
115	261	1991
116	261	1976
117	262	1963
118	263	1951
119	264	1938
120	265	1925
121	265	1912
122	266	1899
123	267	1887
124	267	1875
125	268	1863
126	269	1851
127	270	1840
128	270	1829
129	271	1818
130	272	1807
131	273	1796
132	273	1785
133	274	1774
134	275	1763
135	275	1752
136	276	1742
137	277	1731
138	278	1723
139	278	1713
140	279	1703
141	280	1694
142	281	1684
143	281	1674
144	282	1666
145	283	1656
146	283	1646
147	284	1638
148	285	1629
149	286	1621
150	286	1612
151	287	1603
152	287	1594
153	288	1585
154	293	1600
155	298	1617
156	306	1647
157	307	1638
158	308	1631
159	309	1624
160	310	1616
161	310	1608
162	311	1599
163	312	1591
164	312	1583
165	313	1575
166	314	1567
167	315	1561
168	316	1556
169	317	1549
170	317	1541
171	318	1534
172	319	1526
173	320	1519
174	320	1512
175	321	1504
176	322	1497
177	323	1491
178	323	1484
179	324	1478
180	325	1471
181	326	1465
182	326	1458
183	327	1451
184	328	1445
185	328	1439
186	329	1432
187	330	1427
188	331	1421
189	332	1415
190	332	1409
191	333	1403
192	334	1397
193	335	1391
194	335	1386
195	336	1381
196	337	1375
197	338	1370
198	339	1365
199	340	1360
200	340	1355
201	341	1349
202	342	1344
203	343	1338
204	343	1333
205	344	1328
206	345	1323
207	346	1318
208	346	1312
209	347	1306
210	348	1301
211	348	1296
212	349	1291
213	350	1286
214	350	1280
215	351	1275
216	352	1270
217	352	1265
218	353	1260
219	354	1255
220	354	1251
221	355	1245
222	356	1240
223	356	1235
224	357	1230
225	357	1225
226	365	1243
227	372	1261
228	376	1268
229	377	1263
230	378	1259
231	378	1254
232	379	1250
233	380	1245
234	381	1241
235	382	1237
236	383	1233
237	383	1228
238	384	1224
239	385	1219
240	385	1215
241	386	1210
242	387	1206
243	387	1201
244	388	1197
245	389	1192
246	389	1188
247	390	1184
248	391	1180
249	392	1176
250	392	1171
251	393	1167
252	394	1163
253	394	1159
254	395	1155
255	396	1151
256	396	1147
257	397	1143
258	398	1139
259	399	1135
260	399	1132
261	400	1128
262	401	1124
263	401	1120
264	402	1116
265	403	1113
266	404	1109
267	404	1106
268	405	1102
269	406	1099
270	407	1095
271	408	1092
272	408	1088
273	409	1084
274	409	1080
275	410	1077
276	411	1073
277	412	1070
278	412	1067
279	413	1063
280	414	1060
281	415	1056
282	415	1053
283	416	1050
284	417	1046
285	418	1043
286	418	1040
287	419	1037
288	420	1034
